epoch,train_loss,val_dice
1,0.6518186576226178,
2,0.6268183098119848,
3,0.6078924922382131,
4,0.588066016926485,
5,0.5500042754061082,0.0734
6,0.5076544793213115,
7,0.4847082250258502,
8,0.46798671168439526,
9,0.43850735355825987,
10,0.4286436315845041,0.0781
11,0.4249267174917109,
12,0.4065070835983052,
13,0.37749514860265393,
14,0.35764779939370994,
15,0.33749446360503926,0.0989
16,0.3344498750041513,
17,0.2942440176711363,
18,0.32330165189855237,
19,0.2868273196851506,
20,0.3113746686893351,0.1163
21,0.2936558022218592,
22,0.29329250577618093,
23,0.2724786207956426,
24,0.2764449549071929,
25,0.2901706493952695,0.1364
26,0.30120057481176715,
27,0.2643664935055901,
28,0.2684149378362824,
29,0.2730150292901432,
30,0.27491949542480354,0.1381
31,0.2700756551588283,
32,0.2454842819887049,
33,0.2584634642390644,
34,0.2832074191640405,
35,0.2375825170208426,0.1702
36,0.26563822171267343,
37,0.2578553360174684,
38,0.2547294637736152,
39,0.22919232354444616,
40,0.25924818393062143,0.1524
41,0.23784549402839997,
42,0.235254787346896,
43,0.24661658528973074,
44,0.2619730185936479,
45,0.24719691495685017,0.1753
46,0.23296482203637853,
47,0.22283412998213487,
48,0.22280263615881696,
49,0.2070998150636168,
50,0.18898558616638184,0.1652
51,0.2273895091870252,
52,0.23474428232978373,
53,0.2330575142713154,
54,0.23766013541642358,
55,0.2267019054030671,0.1854
56,0.21349266785032608,
57,0.18474107542458704,
58,0.23478429895990036,
59,0.20185969813781626,
60,0.22764341270222382,0.1756
61,0.23283042999751427,
62,0.20223048285526388,
63,0.22557171390337102,
64,0.2359155832844622,
65,0.20529361858087428,0.1908
66,0.206767618217889,
67,0.21884424677666495,
68,0.21853142801453085,
69,0.21902385091080384,
70,0.2171743665547932,0.1691
71,0.22594747823827407,
72,0.18726717680692673,
73,0.21063190457575462,
74,0.19147746221107595,
75,0.20204327080179663,0.1885
76,0.19828604468527963,
77,0.19710269526523702,
78,0.22037603136371164,
79,0.19737185647382455,
80,0.1845299706739538,0.2008
81,0.2118450394448112,
82,0.18926017358899117,
83,0.19557895379907944,
84,0.21114851446712718,
85,0.20153658398810556,0.2019
86,0.19002182825523264,
87,0.23359189226346858,
88,0.219527472029714,
89,0.1753591936739052,
90,0.21146387300070593,0.2127
91,0.19897368243511984,
92,0.2023953690248377,
93,0.21307122006135829,
94,0.22048734961187139,
95,0.20347301990670316,0.2077
96,0.22201333830461784,
97,0.20090612725299947,
98,0.20081594323410706,
99,0.23007387317278805,
100,0.19944764739450285,0.2087
